id,release_id,reviewed_at,decision,model_alt_text,model_confidence,model_confidence_explanation,model_review_triggers,final_alt_text,final_confidence,final_confidence_explanation,final_review_triggers
735,33fde2dd-5f91-49ac-ae6b-f0257c9a7c34,2026-07-12 19:38:46.446,deny,A person lies partially covered by a textured blanket beneath a soft-focus background of blended warm and cool colors.,0,"The image quality is significantly blurred, reducing clarity in fine details like color gradients and texture. Visual elements are ambiguous due to low resolution, making confident identification of precise artistic techniques or exact subject features difficult.","[""bad image quality"", ""ambiguous main visual element""]",A person lies partially covered by a textured blanket beneath a soft-focus background of blended warm and cool colors.,0,"The image quality is significantly blurred, reducing clarity in fine details like color gradients and texture. Visual elements are ambiguous due to low resolution, making confident identification of precise artistic techniques or exact subject features difficult.","[""ambiguous main visual element""]"
736,e1a8fef5-aa84-4937-a0b6-3f60f4832e19,2026-07-12 19:45:14.743,deny,"A distorted, psychedelic portrait featuring blended colors of blue, green, orange, and purple; the image appears grainy with overlapping hues obscuring distinct facial features or details.",0,"The main subject (a figure's face) is visually indistinct due to heavy color overlay and distortion. Low resolution prevents reliable identification of specific features, textures, or visual elements beyond basic color patterns. No text is legible for inclusion.","[""bad image quality"", ""possible person misidentification""]","A face looking up with overlapping blended colors of blue, green, orange, and purple.",0,"The main subject (a figure's face) is visually indistinct due to heavy color overlay and distortion. Low resolution prevents reliable identification of specific features, textures, or visual elements beyond basic color patterns. No text is legible for inclusion.","[""ambiguous main visual element"", ""highly abstract artwork""]"
648,e3b135e6-7414-4775-a3d4-1475f6f9ade7,2026-07-11 17:40:11.332,deny,"Black-and-white album cover features a woman with long dark hair centered against bold abstract shapes; prominent yellow and red Japanese text appears top-right and bottom-left, with an English sticker listing ""MEIKO KAJI HAJIKI UTA"" release details.",1,,,Black-and-white image of a woman with long dark hair against bold abstract shapes; prominent yellow and red Japanese text around.,1,,
737,e10f6908-a275-4d08-a50a-2848c7c2c5cc,2026-07-12 19:45:54.635,deny,"Monochrome album cover featuring a grainy, low-resolution photograph of indistinct figures in a crowded composition; no clearly legible text is visible due to extreme visual noise.",0,"Image quality is severely compromised by excessive graininess and low resolution, preventing confident identification of specific subjects (e.g., facial features, clothing details) or reliable interpretation of any potential textual elements. The overall composition lacks clarity necessary for a precise description.","[""bad image quality"", ""ambiguous main visual element"", ""cannot read text confidently""]","Monochrome, grainy, low-resolution photograph of indistinct figures in a crowded composition. Surrounded by a white background.",0,"Image quality is severely compromised by excessive graininess and low resolution, preventing confident identification of specific subjects (e.g., facial features, clothing details) or reliable interpretation of any potential textual elements. The overall composition lacks clarity necessary for a precise description.","[""ambiguous main visual element"", ""highly abstract artwork""]"
650,12f0aeab-7fd9-45b2-b051-d9a8d3d2c972,2026-07-11 17:54:54.927,deny,"Circular abstract artwork with gradient transitioning from red-pink hues at top and bottom to purple-blue in the center, featuring horizontal striped bands and three sets of small pink light-like dots.",0,"The image quality is low-resolution and grainy, making specific details (e.g., exact shape of dots, texture nuances) difficult to identify with certainty. The composition’s abstract nature also limits clear interpretation beyond basic color and form patterns.","[""bad image quality"", ""highly abstract artwork""]","Oval abstract art with red-pink and purple-blue gradients, horizontal stripes, and 3 sets of pink light-like dots on black back.",0,"The image quality is low-resolution and grainy, making specific details (e.g., exact shape of dots, texture nuances) difficult to identify with certainty. The composition’s abstract nature also limits clear interpretation beyond basic color and form patterns.","[""bad image quality"", ""highly abstract artwork""]"
738,0098c9fe-0723-4ca2-920d-41b4fb770583,2026-07-12 19:48:37.293,deny,"Dark monochrome album cover featuring a central robed figure surrounded by dense, chaotic line art resembling hand-drawn or etched textures; overall composition is surreal and textured with no visible text.",0,"The image's extremely low resolution makes fine details indistinct (e.g., facial features of the central figure, precise shapes within the line art), requiring reliance on general visual cues rather than specific identifications. Composition clarity is also compromised by high noise and contrast loss.","[""bad image quality"", ""possible person misidentification""]",Dark line art of a figure standing alone with no text.,0,"The image's extremely low resolution makes fine details indistinct (e.g., facial features of the central figure, precise shapes within the line art), requiring reliance on general visual cues rather than specific identifications. Composition clarity is also compromised by high noise and contrast loss.","[""ambiguous main visual element"", ""highly abstract artwork""]"
114,c6918d75-ed8a-44f6-8de3-849f05abcde2,2026-07-06 12:02:08.23,confirm,A close-up photograph of a bright red tomato with a green stem against a solid black background.,1,,,A close-up photograph of a bright red tomato with a green stem against a solid black background.,1,,
739,f8bbae93-ab86-43e8-8b73-848899322ffb,2026-07-12 19:50:18.721,deny,"A blurry photographic image features abstract red and yellow-green color overlays with visible light streaks; vertical text on the left edge reads ""Adrianne Lenker Live at Revolution Hall"".",0,"The image quality is too low (blurred) to confidently identify visual details beyond basic composition elements and partially legible text, limiting precise description.","[""bad image quality"", ""cannot read text confidently""]",Photograph of a guitar player blurred with yellow-orange color overlaid.,0,"The image quality is too low (blurred) to confidently identify visual details beyond basic composition elements and partially legible text, limiting precise description.","[""ambiguous main visual element""]"
651,eb15cb02-f13b-4abc-8930-fb8ecd5989fc,2026-07-11 17:56:44.69,deny,Pink album cover with hand-drawn white skull at center; 'SPEED STICK' in bold text top/bottom; track listings visible on left side.,1,,,Pink background with hand-drawn white skull at center;  'SPEED STICK' in bold text left & bottom; track listings on left side.,1,,
129,550997fb-620b-47a6-a6cb-a2f38b8d2613,2026-07-06 14:53:39.903,deny,"A person stands barefoot in a minimally decorated room with beige walls and carpet, wearing a long black tattered jumpsuit; the photograph has a muted color palette.",1,,,Zombie-like barefoot person in a black tattered jumpsuit stands in a sparse beige room with muted colors.,1,Did not mention that the person looks like a zombie.,"[""unclear visual focus""]"
522,6114ff23-e46d-4b39-aa05-51b68a224c93,2026-07-07 16:11:03.316,deny,"A close-up photograph of a man in a black tuxedo with an extended arm against a dark background; lower text reads ""Great Jewish Music: Burt Bacharach"".",1,,,Close-up photograph of a man in a black tuxedo with an extended arm against a dark background; lower text reads album cover,1,,
740,2cb4e986-35d5-4c37-9332-99a585c4d413,2026-07-12 19:51:02.963,deny,"A woman holding a microphone under dim lighting; ""AROJ AFTAB"" and ""VULTURE PRINCE"" in white text at top left; dark background with purplish tones.",0,"The image has low visibility due to heavy shadowing and muted color palette, making fine details of the subject’s features difficult to discern confidently. The visible text is legible but the overall visual content requires interpretation of obscured elements.","[""bad image quality""]",Close-up photograph of a woman's face under dim lighting and purple tones.,0,"The image has low visibility due to heavy shadowing and muted color palette, making fine details of the subject’s features difficult to discern confidently. The visible text is legible but the overall visual content requires interpretation of obscured elements.","[""ambiguous main visual element""]"
652,5d417070-a58d-43a4-af17-2dd3870d53e5,2026-07-11 17:58:34.476,deny,"Album cover features a photograph of two individuals standing near a calm lake under a large tree with dense foliage and clear blue sky in the background; top displays ""Reflections"", ""Vol. 1 Let the Moon Be a Planet"", and ""Steve Gunn & David Moore"" in black text on white.",1,,,Photo of 2 people standing near a calm lake under a large tree with dense foliage and clear blue sky in the background.,1,,
741,c4dad2bf-f70d-4118-8a21-e8f6709300e4,2026-07-12 19:55:06.186,deny,"An abstract cover art featuring blurred, blended colors including red, white, blue, green, and brown with soft cloud-like textures and grainy visual quality.",0,"Image resolution is too low (grainy/pixelated), preventing confident identification of specific shapes, patterns, or artistic techniques beyond general color blending and texture. Details like distinct forms or intentional design elements cannot be reliably distinguished.","[""bad image quality"", ""ambiguous main visual element""]","Blurred, blended colors including red, white, blue, green, and brown with soft cloud-like textures.",0,"Image resolution is too low (grainy/pixelated), preventing confident identification of specific shapes, patterns, or artistic techniques beyond general color blending and texture. Details like distinct forms or intentional design elements cannot be reliably distinguished.","[""ambiguous main visual element""]"
653,cf5fe5eb-c03f-4a79-a8bc-588336bc9a51,2026-07-11 18:05:30.629,deny,"A close-up view of a sand dune with warm orange and brown textured surface, featuring a sharp black geometric shadow line against a pale blue sky gradient.",1,,,Sand dune with warm orange and brown textured surface with a sharp black geometric shadow line against a pale blue sky gradient,1,,
742,5ae1f655-c0f1-4620-ac91-f0f2b1cfc934,2026-07-12 20:00:15.36,deny,Album cover features layered textures in muted teal and pink; handwritten French text 'le soliel et la mer' appears top right against a textured background.,0,"Low-resolution image obscures fine texture details, makes layer relationships ambiguous, and risks misinterpretation of color tones. Handwritten text is discernible but partially legible due to quality constraints.","[""bad image quality"", ""cannot read text confidently"", ""ambiguous main visual element""]",Layered textures in muted teal and pink; handwritten French text above.,0,"Low-resolution image obscures fine texture details, makes layer relationships ambiguous, and risks misinterpretation of color tones. Handwritten text is discernible but partially legible due to quality constraints.","[""ambiguous main visual element"", ""highly abstract artwork""]"
654,1b94ca33-0c15-4963-a1b2-36314d9c2373,2026-07-11 18:08:02.58,deny,A close-up photo shows three people with curly hair wearing bold red lipstick and blue-purple eyeshadow against a dark background.,1,,,Close-up of 3 white woman with curly hair wearing bold red lipstick and blue-purple eyeshadow against a dark background.,1,,
183,69aa230a-2c1c-41b4-9566-709423331805,2026-07-06 17:16:47.54,deny,Minimalist album cover with blue ink musical staff drawing on white background; cursive 'Kate NV' above staves and smaller handwritten subtitle 'Room for the moon live!' below.,1,,,Blue ink musical staff drawing on white background with cursive text of the album title and artist name.,1,,
657,c2798833-d414-45fa-8cc0-5fda7b3a5e8e,2026-07-11 20:36:28.208,deny,"Pixelated motorcycle and rider figures in black and white on an orange background, with ""MATA ZYKLEK"" in bold yellow text and ""ANGINE DE POITRINE"" in smaller white text on a black strip below.",1,,,Two pixelated motorcycle and rider figures in black and white on an orange background.,1,,
583,887df125-5335-4690-9f6b-59bd2dabcc47,2026-07-08 10:11:24.174,deny,"Grayscale image of a curled human figure in fetal position against dark background, featuring grainy texture and abstract darker shapes to the right.",1,,,Grayscale image of a curled human figure in fetal position against dark background.,1,,
660,b25cd52c-faec-4929-ba49-167162e7e301,2026-07-11 20:44:48.328,confirm,A six-panel wooden door centered against a black backdrop with radiating white grid lines forming a tunnel-like web pattern.,1,,,A six-panel wooden door centered against a black backdrop with radiating white grid lines forming a tunnel-like web pattern.,1,,
661,2702d5a8-dbba-49ce-8751-47a14b0c1ec0,2026-07-11 20:46:22.175,deny,"A bright yellow background features ""birdie"" in white sans-serif text (top left) and ""some dusty"" in bold black stylized lettering below. On the right, a person with curly hair wears a polka-dot shirt while playing an electric guitar.",1,,,Person with curly hair wears a polka-dot shirt while playing an electric guitar on a bright yellow background with stylized text.,1,,
294,ff7aad9b-0c13-4bfe-a2c5-d77308720f71,2026-07-07 11:30:24.995,deny,"Album cover features mixed-media twig sculptures of animals in a gallery space; top text displays ""OHAD TALMOR BACK TO THE LAND"" and additional names below.",1,,,Twig sculptures of animals in a gallery space. White background with text surrounds the photo.,1,,
120,528a505e-0fd3-4175-b8fe-48b44c12ee61,2026-07-06 14:37:43.577,deny,"A black-and-white photograph of a person with long curly hair raising both hands toward their head, surrounded by cloud-like textured overlays. The image has a grainy, ethereal quality with high-contrast tones.",1,,,"Black-and-white photo of a long-haired woman with both hands on her head, with grainy, ethereal cloud-like overlays.",1,Didn't specify the person was a woman.,"[""unclear visual focus""]"
663,213dd5df-c74a-4d36-97ea-c4b63fbd2f58,2026-07-11 20:55:33.752,deny,"Split image with left side showing a photographic close-up of an ornate hand reaching toward red and yellow flowers against blurred green foliage; right side features stylized dark blue text including ""MOUTH"" and Chinese characters within curved lines on light purple background.",1,,,"Photo of an ornate hand reaching for red yellow flowers on blurred green foliage, Chinese characters and ""MOUTH"" on the right",1,,
119,d06705e9-6226-45d9-ad6f-f2cfad0a7182,2026-07-06 14:35:06.098,deny,"Album cover features a child’s portrait centered in a blue backdrop within a colorful, framed border surrounded by vibrant psychedelic graphics including stars, a smiling moon with rainbow, planets, musical notes, and pink roses. Text: “Los Retros” at top (stylized yellow letters with green outline); “LOOKING BACK” on an orange banner below.",1,,,"Child portrait on blue backdrop with psychedelic border with stars, moon, planet, rose; text “Los Retros"" and ""LOOKING BACK”.",1,"Used ""album cover of""",
664,5a79103f-4a4b-4756-8cd0-be263f0e13b7,2026-07-11 20:57:44.251,deny,"An illustration of two tiny white figures walking along a shoreline between coral-pink water and terracotta sand, with ""Issei Herr"" in large light gray text above smaller centered text reading ""Distant Intervals"".",1,,,Two tiny white figures walking along a shoreline between coral-pink water and brown sand with a pink sky,1,,
130,8c71578d-51de-490c-a7cb-41a38f6ae1ee,2026-07-06 14:56:01.626,deny,"Stylized neon-green digital artwork features a long-haired figure with glowing eyes, set against wave-patterned green lines on black; ""VALENTINE REEL"" appears in matching green text at the bottom.",1,,,Neon-green artwork of a long-haired girl glowing-eyed figure on black with wave lines; “VALENTINE REEL” at bottom.,1,Did not mention that the figure was a girl.,"[""unclear visual focus""]"
131,2d710380-5a9f-435b-b54b-aeb3bad19a40,2026-07-06 14:59:44.565,deny,"Album cover features pink-hued surreal creature illustrations (insectoid forms, clawed appendages, hair-covered limb) on muted gray background; top text reads ""yurayurateikoku 1998-2004"" in stylized font.",1,,,"Album cover with three pink surreal creatures: an insectoid form, a clawed appendage, and a hairy limb on gray background.",1,"Started description with ""album cover""",
134,a0d29756-b2da-4d0c-966a-3cb6f083498b,2026-07-06 15:08:18.999,deny,"Album cover shows three people posing against a blurred background of purple and magenta lights. At top, ""Tere Liye"" appears in pink-orange text above ""Hindi Disco,"" with ""PINKY ANN RIHAL"" in blue script below.",1,,,"Man and two women pose before blurred purple-magenta lights; texts: “Tere Liye,” “Hindi Disco,” and “PINKY ANN RIHAL.”",1,Did not mention that the 3 people were a man and two women.,"[""unclear visual focus""]"
135,f0a242f9-8c33-4047-b1f6-60d82265f81b,2026-07-06 15:11:12.486,deny,"The album cover features a space-themed collage of stars and nebulae on dark backgrounds. Text includes ""GRANDADDY"" in small white lettering top left and large light blue ""BLU WAV"" centered.",1,,,"A space-themed collage of stars and nebulae on dark backgrounds. Text read ""GRANDADDY"" & ""BLU WAV""",1,"Started description with ""album cover""",
147,33274077-a1e3-43f3-b733-2982eceadf94,2026-07-06 15:37:58.551,deny,"Watercolor illustration of a two-story house with orange roof and gray walls flanked by green leafy trees; above house, an anchor, red circle, and harp symbol; white banner below displays handwritten text ""P.G. Six Murmurs & Whispers"".",1,,,"Child-like painting of a  two-story orange and gray house with trees; above are a small chess rook, red circle, and harp symbol.",1,"Said that the image contains a ""anchor"" but it was actually a ""chess rook"".","[""ambiguous main visual element""]"
144,20e0e823-a8ab-46a2-a281-dd0a419cebd4,2026-07-06 15:27:02.857,deny,"Two individuals stand against a tricolor background with horizontal bands of orange (top), white (middle) featuring an orange circular element, and green (bottom). ""MAMAKI BOYS"" appears in black text at the top; ""PATRIOTE"" is overlaid in large gray lettering across their torsos.",1,,,"Two men in white stand before the Niger flag, an orange, white, and green horizontal bands flag with an orange middle circle.",1,,
167,c521769d-d842-49ba-a33a-acfb083f01d3,2026-07-06 16:10:47.768,deny,"Black-and-white album cover featuring a blurred silhouette of a dog running across snowy terrain; motion blur creates dynamic streaks in the background with visible text ""WAND/VERTIGO"" at top-right.",1,,,"Blurred silhouette of a dog in black-and-white running across a long field with text ""WAND/VERTIGO"" at top-right.",1,"Said ""snowy terrain"" but that can't be confidently confirmed on the image.","[""bad image quality""]"
171,7e54a8ca-a654-4459-a32e-0e4980a32601,2026-07-06 16:16:46.128,deny,"Album cover features a gradient sky transitioning from deep blue to lighter blue with a horizontal pinkish-orange band near the horizon, above a muted purple landscape. Orange all-caps text reads ""THREE QUARTER SKIES"" centered, with smaller ""FADE IN"" below it.",1,,,Blue gradient sky with a pink-orange horizon above a purple landscape; text in orange “THREE QUARTER SKIES” & “FADE IN” .,1,"Used ""album cover"" in the description.",
170,689c9179-a407-4e79-9776-b4d763735164,2026-07-06 16:15:55.576,deny,Photograph of a bright blue building facade featuring brown trim around a balcony and large windows with sheer white curtains; green foliage appears on the left side.,1,,,"Within a blue border: a brown, angled facade with large, curtained windows, foliage to its left, and a blue building behind it.",1,,
306,ba6740b4-99de-457f-8615-d2274611901a,2026-07-07 11:38:01.869,deny,Three red hand-painted flowers with smiling faces appear on a textured green background. The word 'Springtime' in elegant cursive script is positioned at the top right.,1,,,"Painting of three red flowers with smiling faces on a green grass background. ""Springtime"" in cursive is at the top right.",1,,
184,afff0054-89a9-4a12-96a5-913e76e0d232,2026-07-06 17:21:56.085,deny,"The album cover features a shattered glass effect with cracks radiating outward from a central point. Behind the fractured surface, blurred tones of purple, green, and light skin-toned shapes are visible.",1,,,Shattered glass effect with cracks radiating outward behind which is a person's hand outside a car door.,1,It is difficult to identify the figure and shapes behind the shattered glass effect.,"[""ambiguous main visual element"", ""complex image with mixed media""]"
186,ebed1328-c352-4336-92a6-f3bb7ba4bafc,2026-07-06 17:24:52.001,deny,"A digital artwork with vibrant pink and white neon lightning-like patterns radiating from a central point on a dark red-to-brown gradient background. The artist name ""LEIFUR JAMES"" appears in pink at the bottom left, and ""MAGIC SEEDS"" is displayed in white at the bottom right.",1,,,Vibrant pink and white neon lightning-like patterns radiating from a central point on a dark red-to-brown gradient background.,1,,
191,6104f8fd-e680-4ca6-90e3-12680791c323,2026-07-07 03:22:48.515,deny,"A dimly lit photograph depicts two figures against a solid black background; one figure in the foreground has short blonde hair and wears a dark top, while another figure is partially visible behind.",1,,,"Dimly lit photograph with a woman with short blonde hair and a dark top against a dark background, looking into the distance.",1,,"[""ambiguous main visual element""]"
192,18266e27-a61d-4157-92fb-4a09f0d6337e,2026-07-07 03:42:03.52,deny,"Framed surreal collage album cover with pink top section and teal background; blue-yellow swirling pattern, checkered floor scene with seated figure, black-white striped elements on right, and title text “(I’M JUST) CHILLIN’, ON FIRE” in pink letters at bottom.",1,,,"Surreal collage with pink and teal background; blue-yellow swirling pattern, checkered floor with laying person; title on bottom",1,,"[""ambiguous main visual element"", ""complex image with mixed media""]"
669,c5e2f535-2ad3-48ef-bf45-1fe3e65de94a,2026-07-11 21:14:07.217,deny,"The Replacements album cover shows four band members on a red-carpeted stage against a brick wall backdrop; one kneels near a drum set with equipment, another holds an acoustic guitar, and two others sit nearby. Bold yellow text ""The Replacements"" appears at the top, while ""Tim LET IT BLEED EDITION"" is displayed in script at the bottom right.",1,,,"4 people in a band; one kneels near a drum set with equipment, another holds an acoustic guitar, and two others sit nearby.",1,,
670,56250d06-5f90-42a3-a3e5-f4556545c2d3,2026-07-11 21:15:14.2,deny,"A person in black clothing and red shoes dances in a large empty room with exposed ceiling beams, concrete floors, and weathered walls; vertical blue text ""TORRES What an enormous room"" appears on the left side.",1,,,"A person in black cloth and red shoes dances in large empty room with exposed ceiling beams, concrete floors, and weathered walls.",1,,
406,7606e316-d156-410b-8b61-5cf0d10f90df,2026-07-07 14:21:44.907,confirm,A black goat with a yellow rope collar stands at an arched window with open green shutters on a light-colored building.,1,,,A black goat with a yellow rope collar stands at an arched window with open green shutters on a light-colored building.,1,,
195,ece0d669-f1d2-42f8-89da-2e536b16afee,2026-07-07 03:53:01.061,deny,"The album cover displays ""Junior Boys"" on the left and ""Waiting Game"" on the right in a dark serif font above a large abstract monochrome composition of dense interwoven black lines on white background.",1,,,"Dark serif-font text that says ""Junior Boys"" and ""Waiting Game"" above an abstract rectangle of dense interwoven black lines.",1,,
671,63b23db3-a2e5-43b4-b6f1-27cfa760b115,2026-07-11 21:16:50.567,deny,"Grainy concert photograph showing a band performing on stage under spotlights with audience members raising hands; ""sunn"" logo top left and ""EVIL CHUCK / RON G. WARRIOR"" text at bottom right.",1,,,Grainy concert photo of a band performing on stage under spotlights with audience members raising hands; image on black with text,1,,
224,407d6883-9f57-41bf-8b94-1bf803e89a5c,2026-07-07 10:29:01.627,deny,"A mixed-media collage album cover featuring a large stylized purple-and-blue jack-o'-lantern face centered over textured fabric patches in brown, white, and teal tones. A hooded figure appears on the left, with visible text ""Ax Riggs one hundred cigarettes vol 2"" at bottom left.",1,,,Mixed-media photo featuring neon purple-and-blue jack-o'-lantern face with brown jacket and teal skin. Hooded figure on left.,1,,"[""ambiguous main visual element""]"
220,6d561ba8-255b-4cb4-9a7e-469218e03218,2026-07-07 10:26:27.974,confirm,"A black-and-white photograph shows a person’s face partially submerged in rippling water, with gentle reflections on the surface.",1,,,"A black-and-white photograph shows a person’s face partially submerged in rippling water, with gentle reflections on the surface.",1,,
673,8de0297a-a5ce-4b7d-b7d9-2d4fb3694ef0,2026-07-11 21:22:53.934,deny,"A natural photograph of a calm pond reflecting trees and sky with lily pads and reeds in foreground; white text ""Annea Lockwood"" and ""Becoming Air / Into the Vanishing Point"" overlaid on the right side.",1,,,"Photo of a pond with a reflection of the sky, with herbs, lily pads and reeds; white album artist text on the top right.",1,,
447,ce068b8e-3630-448e-92f6-3851ba5134f1,2026-07-07 15:06:13.775,deny,"Two black duck sculptures on a blue-to-pink gradient background. Large bold letters spell ""BLACK"" (multicolored) above and ""DUCK"" below in matching style.",1,,,Two black duck sculptures on a blue-to-pink gradient background. Multicolored text spelling album title on top and bottom.,1,,
237,0521a430-f744-4d5f-80ee-611a6e59e304,2026-07-07 10:38:00.212,deny,"Album cover features three men gathered around a red table with drink glasses and a DJ controller; ""RELENTLESS"" in gold text at top, ""DjMc"" in gold text at bottom left.",1,,,"three men gathered around a red table with drink glasses and a DJ controller; man in center looks at camera, others look down",1,,
250,d61ee24b-55ee-4e8f-bd46-c381523b89c2,2026-07-07 10:47:28.085,deny,"A small light brown animal skull with darker spots rests on a textured rock surface featuring mottled brown, gray, and hints of green hues.",1,,,Small light brown animal skull with dark spots on a textured rock surface featuring mottled brown and gray with a small plant,1,,"[""ambiguous main visual element""]"
257,eedf210f-7564-45f0-bf90-10274c2c1525,2026-07-07 10:53:11.598,deny,"Psychedelic-style abstract digital artwork featuring vibrant swirling shapes in red, green, blue, yellow, and pink against a solid black background.",1,,,"Abstract digital artwork featuring long swirling shapes in red, green, blue, yellow, and pink against a solid black background.",1,,"[""highly abstract artwork""]"
